11 0 0 0.3     1.22 2.44      0.00532889 1.92104 0 0 0.509104 6.32893e-05 19195.3      0 0.000485182  10 0.834485  0 0  0 0  0 0.0171025  2 7.15256e-06  5 19150       10 0.0159302  0 2.41789  0 0  0 0  10 1.58506  0 0.000590801  1 19292 
12 0 0 0.3     1.2 2.23      0.00533307 1.71484 0 0 0.510908 5.40813e-05 18030.1      0 0.000390768  9 0.783709  0 0  0 0  0 0.0201311  9 1.90735e-06  2 17989       9 0.014529  0 2.21058  0 0  0 0  9 1.43285  0 0.000545263  10 18211 
13 0 0 0.3     1.1 2.15      0.00583187 1.55553 0 0 0.583782 4.71335e-05 17044.2      0 0.000488758  12 0.729015  0 0  0 0  0 0.0170345  12 2.14577e-06  5 16828       12 0.013979  0 2.12766  0 0  0 0  12 1.40213  0 0.000510216  1 17767 
